MP:0013118	swellings
HP:0010852	EEG with photoparoxysmal response
MP:0020076	increased brain tyrosine 3-monooxygenase activity
MP:0020074	abnormal brain tyrosine 3-monooxygenase activity
HP:0030388	Decreased proportion of class-switched memory B cells
HP:0030386	Abnormal proportion of class-switched memory B cells
HP:0011659	Tetralogy of Fallot with absent pulmonary valve
HP:0005134	Absence of the pulmonary valve
HP:0032719	Focal impaired awareness motor seizure with dysarthria/anarthria
HP:0032720	Focal motor seizure with dysarthria/anarthria
HP:0007258	Severe demyelination of the white matter
HP:0007305	CNS demyelination
HP:0030147	Truncal titubation
HP:0030187	Titubation
HP:0000726	Dementia
HP:0001268	Mental deterioration
HP:0012829	Profound
HP:0012824	Severity
HP:0032067	Elevated serum bicarbonate concentration
HP:0032065	Abnormal serum bicarbonate concentration
HP:0000454	Flared nostrils
HP:0000429	Abnormality of the nasal alae
MP:0009808	decreased oligodendrocyte number
MP:0000953	abnormal oligodendrocyte morphology
HP:0000690	Agenesis of maxillary lateral incisor
HP:0200160	Agenesis of maxillary incisor
HP:0011561	Overriding atrioventricular valve
HP:0011546	Abnormal atrioventricular connection
MP:0003361	abnormal circulating gonadotropin level
MP:0005418	abnormal circulating hormone level
MP:0000389	disorganized outer root sheath cells
MP:0010684	abnormal hair follicle outer root sheath morphology
MP:0020591	increased corpus callosum total cell area
MP:0020586	abnormal corpus callosum total cell area
HP:0030487	Abnormal P50/N95 ratio of pattern electroretinogram
HP:0030467	Abnormal pattern electroretinogram
HP:0002340	Caudate atrophy
HP:0007374	Atrophy/Degeneration involving the caudate nucleus
HP:0005103	Calcification of the auricular cartilage
HP:0100593	Calcification of cartilage
MP:0008112	abnormal monocyte differentiation
MP:0002445	abnormal mononuclear cell differentiation
HP:0410010	Abnormality of somatic nerve plexus
HP:0410009	Abnormality of the somatic nervous system
HP:0030920	5-minute APGAR score of 0
HP:0030919	Low 5-minute APGAR score
MP:0011446	abnormal renal albumin reabsorption
MP:0011445	abnormal renal protein reabsorption
HP:0010105	Short first metatarsal
HP:0010054	Abnormality of the first metatarsal bone
MP:0030330	abnormal temporomandibular joint disk morphology
MP:0011210	abnormal temporomandibular joint morphology
HP:0020041	Double elevator palsy
HP:0025068	Incomitant strabismus
MP:0008742	abnormal kidney iron level
MP:0001770	abnormal iron level
HP:0010974	Abnormal myeloid leukocyte morphology
HP:0001881	Abnormal leukocyte morphology
MP:0010573	left dorsal aorta regression
MP:0004787	abnormal dorsal aorta morphology
MP:0003527	small vulva
MP:0003126	abnormal external female genitalia morphology
MP:0012081	absent heart tube
MP:0000270	abnormal heart tube morphology
HP:0030133	Abnormal presence of ultra-large von Willebrand factor multimers
HP:0030131	Abnormal von Willebrand factor multimer distribution
HP:0200071	Peripheral vitreoretinal degeneration
HP:0007773	Vitreoretinopathy
HP:0001116	Macular coloboma
HP:0000480	Retinal coloboma
MP:0031028	increased susceptibility to Ortervirales infection induced morbidity/mortality
MP:0020919	increased susceptibility to Ortervirales infection
MP:0004256	abnormal maternal decidual layer morphology
MP:0001120	abnormal uterus morphology
MP:0008093	abnormal memory B cell number
MP:0002458	abnormal B cell number
MP:0010139	aortitis
MP:0010138	arteritis
HP:0025585	Hyperphoria
HP:0032011	Heterophoria
MP:0009584	decreased keratinocyte proliferation
MP:0009582	abnormal keratinocyte proliferation
MP:0030387	large posterior fontanelle
MP:0030364	abnormal posterior fontanelle morphology
MP:0020879	abnormal calcium level
MP:0004231	abnormal calcium ion homeostasis
MP:0011217	increased brainstem copper level
MP:0011216	abnormal brainstem copper level
HP:0100899	Sclerosis of finger phalanx
HP:0005918	Abnormal finger phalanx morphology
HP:0010653	Abnormality of the falx cerebri
HP:0010652	Abnormal dura mater morphology
MP:0005247	abnormal extraocular muscle morphology
MP:0000759	abnormal skeletal muscle morphology
MP:0008340	increased corticotroph cell number
MP:0008327	abnormal corticotroph morphology
HP:0040303	Decreased serum iron
HP:0040130	Abnormal serum iron concentration
HP:0005830	Flexion contracture of toe
HP:0100492	Joint contractures involving the joints of the feet
MP:0030814	abnormal wrist joint morphology
MP:0030811	abnormal hand joint morphology
MP:0000245	abnormal erythropoiesis
MP:0002447	abnormal erythrocyte morphology
HP:0100041	Broad 3rd toe
HP:0010320	Abnormality of the 3rd toe
HP:0030743	Glial remnants anterior to the optic disc
HP:0007968	Remnants of the hyaloid vascular system
HP:0001869	Deep plantar creases
HP:0100872	Abnormality of the plantar skin of foot
HP:0100465	Patchy sclerosis of the proximal phalanx of the 4th toe
HP:0010376	Patchy sclerosis of 4th toe phalanx
HP:0007589	Aplasia cutis congenita on trunk or limbs
HP:0001057	Aplasia cutis congenita
MP:0011359	decreased glomerular capillary number
MP:0011320	abnormal glomerular capillary morphology
HP:0033787	Cementum hypoplasia
HP:0100717	Abnormal cementum morphology
MP:0012359	increased partial thromboplastin time
MP:0012357	abnormal partial thromboplastin time
HP:0009977	Duplication of the proximal phalanx of the 4th finger
HP:0010006	Duplication of the proximal phalanx of hand
MP:0000141	abnormal vertebral body morphology
MP:0000137	abnormal vertebrae morphology
MP:0009225	abnormal uterine cervix size
MP:0001135	abnormal uterine cervix morphology
HP:0031963	Decreased serum anion gap
HP:0031961	Abnormal serum anion gap
MP:0000410	waved hair
MP:0001510	abnormal coat appearance
HP:0010352	Patchy sclerosis of 2nd toe phalanx
HP:0010178	Patchy sclerosis of toe phalanx
HP:0033981	Vertebral artery tortuosity
HP:0005116	Arterial tortuosity
HP:0025363	Glomerular endocapillary hypercellularity
HP:0025006	Abnormal glomerular capillary morphology
MP:0010154	abnormal gastroesophageal sphincter physiology
MP:0001663	abnormal digestive system physiology
HP:0032911	Focal aware orofacial automatism seizure
HP:0032910	Focal aware automatism seizure
HP:0031405	Poroma
HP:0012842	Skin appendage neoplasm
MP:0009572	abnormal right lung cranial lobe morphology
MP:0010975	abnormal lung lobe morphology
HP:0025357	Erratic myoclonus
HP:0001336	Myoclonus
MP:0005277	abnormal brainstem morphology
HP:0040004	Abnormality of corneal shape
HP:0000481	Abnormal cornea morphology
MP:0012089	decreased midbrain size
MP:0000774	decreased brain size
MP:0020845	abnormal DNA-templated transcription
MP:0005621	abnormal cell physiology
MP:0009305	decreased retroperitoneal fat pad weight
MP:0005337	abnormal retroperitoneal fat pad morphology
MP:0002655	abnormal keratinocyte morphology
MP:0001216	abnormal epidermal layer morphology
MP:0000223	decreased monocyte cell number
MP:0000221	decreased leukocyte cell number
HP:0045047	HbS hemoglobin
HP:0011902	Abnormal hemoglobin
MP:0004942	abnormal B cell selection
MP:0002144	abnormal B cell differentiation
MP:0008216	absent transitional stage B cells
MP:0008190	decreased transitional stage B cell number
HP:0008045	Enlarged flash visual evoked potentials
HP:0030462	Abnormal amplitude of flash visual evoked potentials
HP:0009233	Triangular shaped proximal phalanx of the 5th finger
HP:0009378	Triangular shaped phalanges of the 5th finger
HP:0010847	EEG with spike-wave complexes (<2.5 Hz)
HP:0010850	EEG with spike-wave complexes
HP:0004919	Galactose intolerance
HP:0004915	Impairment of galactose metabolism
HP:3000055	Abnormality of inferior alveolar nerve
HP:0001291	Abnormal cranial nerve morphology
HP:0012308	Decreased serum complement C9
HP:0033057	Decreased serum terminal complement component
HP:0030366	Delivery by Odon device
HP:0001787	Abnormal delivery
HP:0100269	Paramedian lip pit
HP:0100267	Lip pit
MP:0020560	abnormal pontine nuclei morphology
MP:0000848	abnormal pons morphology
MP:0009014	prolonged proestrus
MP:0009013	abnormal proestrus
HP:0031508	Abnormal thyroid hormone level
HP:0002926	Abnormality of thyroid physiology
MP:0013824	abnormal hypoglossal canal morphology
MP:0030310	abnormal cranial foramen morphology
HP:0033819	Perilymphatic
HP:0012836	Spatial pattern
HP:0032685	Focal cognitive seizure with auditory agnosia
HP:0032680	Focal cognitive seizure
HP:0045007	Abnormal substantia nigra morphology
HP:0002134	Abnormality of the basal ganglia
MP:0030913	abnormal melanosome formation
MP:0005075	abnormal melanosome morphology
MP:0008705	increased interleukin-6 secretion
MP:0008704	abnormal interleukin-6 secretion
MP:0020674	decreased stria medullaris average cell area
MP:0020673	abnormal stria medullaris average cell area
HP:0034008	Opto-chiasmatic atrophy
HP:0025163	Abnormality of optic chiasm morphology
HP:0004458	Dilatated internal auditory canal
HP:0011384	Abnormality of the internal auditory canal
HP:0031496	Mucinous cystic neoplasm of the pancreas
HP:0031495	Mucinous neoplasm
HP:0030294	Metaphyseal chondromatosis of tibia
HP:0005868	Metaphyseal enchondromatosis
MP:0002933	joint inflammation
MP:0031169	abnormal joint physiology
MP:0004335	enlarged utricle
MP:0006090	abnormal utricle morphology
MP:0003417	premature endochondral bone ossification
MP:0008272	abnormal endochondral bone ossification
HP:0011289	EEG with temporal sharp slow waves
HP:0011195	EEG with focal sharp slow waves
MP:0020956	absent mechanical nociception
MP:0002734	abnormal mechanical nociception
MP:0004934	epididymis epithelium degeneration
MP:0004933	abnormal epididymis epithelium morphology
MP:0001475	reduced long term depression
MP:0001898	abnormal long term depression
MP:0009959	abnormal cerebellar hemisphere morphology
MP:0004097	abnormal cerebellar cortex morphology
HP:0032755	Focal impaired awareness autonomic seizure
HP:0032716	Focal impaired awareness non-motor seizure
HP:0006488	Bowing of the arm
HP:0002817	Abnormality of the upper limb
HP:0002974	Radioulnar synostosis
HP:0002818	Abnormality of the radius
HP:0012653	Status asthmaticus
HP:0002099	Asthma
HP:0003452	Increased serum iron
HP:0003741	Congenital muscular dystrophy
HP:0003560	Muscular dystrophy
HP:0100085	Small epiphyses of the 5th toe
HP:0010170	Small epiphyses of the toes
MP:0003765	increased palatal length
MP:0003764	abnormal palatal length
HP:3000036	Abnormality of head blood vessel
MP:0004103	abnormal ventral striatum morphology
MP:0004077	abnormal striatum morphology
HP:0012686	Increased pineal volume
HP:0012684	Abnormal pineal volume
MP:0009640	abnormal renal tubule epithelium morphology
MP:0002703	abnormal renal tubule morphology
MP:0005390	skeleton phenotype
MP:0000001	mammalian phenotype
HP:0011273	Anisocytosis
HP:0001877	Abnormal erythrocyte morphology
HP:0033776	Enamel pearls
HP:0000682	Abnormal dental enamel morphology
MP:0020204	abnormal heart left ventricle weight
MP:0004857	abnormal heart weight
HP:0410059	Increased level of D-threitol in urine
HP:0031979	Abnormal urine carbohydrate level
MP:0006062	abnormal vena cava morphology
MP:0002725	abnormal vein morphology
HP:0000610	Abnormal choroid morphology
HP:0001098	Abnormal fundus morphology
HP:0006442	Hypoplasia of proximal fibula
HP:0003038	Fibular hypoplasia
MP:0011794	abnormal male urethral gland morphology
MP:0013325	abnormal male reproductive gland morphology
MP:0004713	split notochord
MP:0002825	abnormal notochord morphology
MP:0020203	abnormal mast cell number
MP:0009362	abnormal primary ovarian follicle morphology
MP:0001131	abnormal ovarian follicle morphology
MP:0013792	abnormal small intestine goblet cell morphology
MP:0008108	abnormal small intestinal villus morphology
MP:0001204	decreased sensitivity to skin irradiation
MP:0003763	abnormal thymus physiology
MP:0003762	abnormal immune organ physiology
HP:0001608	Abnormality of the voice
HP:0010803	Everted upper lip vermilion
HP:0012472	Eclabion
MP:0000693	spleen hyperplasia
MP:0000691	enlarged spleen
HP:0006803	Vivid hallucinations
HP:0000738	Hallucinations
HP:0100908	Sclerosis of the proximal phalanx of the 2nd finger
HP:0100918	Sclerosis of 2nd finger phalanx
MP:0005382	craniofacial phenotype
HP:0033676	Posttraumatic stress symptom
HP:0000708	Behavioral abnormality
HP:0020035	Lower limb dysmetria
HP:0002406	Limb dysmetria
HP:0030275	Ectopic scrotum
HP:0000045	Abnormality of the scrotum
HP:0040124	Patent tuba eustachii
HP:0040115	Abnormality of the Eustachian tube
HP:0000360	Tinnitus
HP:0000364	Hearing abnormality
HP:0025243	Subretinal hemorrhage
HP:0000573	Retinal hemorrhage
MP:0008779	abnormal maternal behavior
MP:0002068	abnormal parental behavior
HP:0010326	Deviation of the 2nd toe
HP:0010319	Abnormality of the 2nd toe
MP:0030625	increased circulating cysteine level
MP:0030622	increased cysteine level
HP:0032054	Focal cortical dysplasia type III
HP:0032046	Focal cortical dysplasia
MP:0012777	abnormal liver glycogen level
MP:0000598	abnormal liver morphology
MP:0030808	abnormal hindlimb joint morphology
MP:0030805	abnormal limb joint morphology
HP:0010655	Epiphyseal stippling
HP:0010656	Abnormal epiphyseal ossification
HP:0001181	Adducted thumb
HP:0001172	Abnormal thumb morphology
MP:0012532	abnormal surface ectoderm morphology
MP:0014139	abnormal ectoderm morphology
MP:0000215	absent erythrocytes
MP:0002875	decreased erythrocyte cell number
MP:0020506	abnormal dendritic spine density
MP:0009936	abnormal dendritic spine morphology
MP:0020947	decreased susceptibility to Orthomyxoviridae infection
MP:0020945	abnormal susceptibility to Orthomyxoviridae infection
MP:0012278	abnormal cardiogenic mesoderm morphology
MP:0002925	abnormal cardiovascular development
MP:0001087	abnormal nodose ganglion morphology
MP:0001100	abnormal vagus ganglion morphology
HP:0012146	Abnormality of von Willebrand factor
HP:0003256	Abnormality of the coagulation cascade
HP:0000534	Abnormal eyebrow morphology
HP:0001595	Abnormal hair morphology
MP:0008919	fused tarsal bones
MP:0005104	abnormal tarsal bone morphology
HP:0031242	Decreased circulating chylomicron concentration
HP:0010981	Hypolipoproteinemia
HP:0000939	Osteoporosis
HP:0004349	Reduced bone mineral density
HP:0100806	Sepsis
HP:0010978	Abnormality of immune system physiology
HP:0100814	Blue nevus
HP:0003764	Nevus
HP:0100370	Aplasia/Hypoplasia of the distal phalanx of the 4th toe
HP:0010185	Aplasia/Hypoplasia of the distal phalanges of the toes
HP:0032277	Lozenge-shaped umbilicus
HP:0001551	Abnormal umbilicus morphology
MP:0008393	absent primordial germ cells
MP:0008392	decreased primordial germ cell number
HP:0100455	Osteolytic defects of the proximal phalanx of the 3rd toe
HP:0010363	Osteolytic defects of the phalanges of the 3rd toe
HP:0003649	Abnormality of glycoside metabolism
HP:0012379	Abnormal enzyme/coenzyme activity
MP:0011192	decreased embryonic epiblast cell proliferation
MP:0000352	decreased cell proliferation
MP:0008269	abnormal hippocampus CA4 region morphology
MP:0008262	abnormal hippocampus region morphology
HP:0001600	Abnormality of the larynx
HP:0002087	Abnormality of the upper respiratory tract
MP:0002699	abnormal vitreous body morphology
MP:0005195	abnormal posterior eye segment morphology
HP:0030433	Osteoid osteoma
HP:0100246	Osteoma
HP:0010410	Symphalangism affecting the middle phalanx of the 2nd toe
HP:0010353	Second toe symphalangism
HP:0002002	Deep philtrum
HP:0000288	Abnormality of the philtrum
MP:0005518	abnormal pancreas regeneration
MP:0002693	abnormal pancreas physiology
HP:0025053	Elevated brain N-acetyl aspartate level by MRS
HP:0025052	Abnormal brain N-acetyl aspartate level by MRS
HP:0012428	Prominent calcaneus
HP:0008364	Abnormality of the calcaneus
MP:0011156	abnormal hypodermis fat layer morphology
MP:0002970	abnormal white adipose tissue morphology
HP:0033268	Deflation of the glomerular tuft
HP:0033267	Abnormal glomerular capillary lumen morphology
HP:0032234	Increased circulating creatine kinase MM isoform
HP:0040081	Abnormal circulating creatine kinase concentration
MP:0011380	enlarged brain ventricles
MP:0013229	abnormal brain ventricle size
MP:0001988	cocaine preference
MP:0020905	abnormal cocaine self-administration
HP:0010333	Flexion contracture of 3rd toe
HP:0003427	Thenar muscle weakness
HP:0030237	Hand muscle weakness
MP:0009953	abnormal olfactory tubercle morphology
MP:0005267	abnormal olfactory cortex morphology
MP:0012297	hyperactivity elicited by feed restriction
MP:0008911	induced hyperactivity
MP:0020432	decreased platelet dense granule number
MP:0004722	abnormal platelet dense granule number
MP:0012617	abnormal circulating factor X level
MP:0001570	abnormal circulating enzyme level
HP:0031153	Membranous vitreous appearance
HP:0004327	Abnormal vitreous humor morphology
HP:0430008	Accessory eyelid
HP:0000492	Abnormal eyelid morphology
HP:0032957	Dysmorphic hematuria
HP:0000790	Hematuria
MP:0009753	enhanced behavioral response to morphine
MP:0020159	abnormal behavioral response to morphine
MP:0000855	accelerated formation of intralobular fissures
MP:0000854	abnormal cerebellum development
HP:0100271	Hyponasal speech
MP:0002798	abnormal active avoidance behavior
MP:0001462	abnormal avoidance learning behavior
HP:0004268	Osteoarthritis of the small joints of the hand
HP:0002758	Osteoarthritis
MP:0020903	increased middle ear goblet cell number
MP:0020902	abnormal middle ear goblet cell number
HP:0031908	Micrographia
HP:0011446	Abnormality of higher mental function
MP:0008187	absent pro-B cells
MP:0008208	decreased pro-B cell number
HP:0009431	Bullet-shaped middle phalanx of the 3rd finger
HP:0009845	Bullet-shaped middle phalanges of the hand
MP:0020632	decreased hippocampus total cell area
MP:0020631	abnormal hippocampus total cell area
HP:0100071	Irregular epiphyses of the 4th toe
HP:0010167	Irregular epiphyses of the toes
MP:0010787	gastric cyst
MP:0031310	abnormal cyst
HP:0030880	Raynaud phenomenon
HP:0025323	Abnormal arterial physiology
HP:0007447	Diffuse palmoplantar hyperkeratosis
HP:0000972	Palmoplantar hyperkeratosis
HP:0004439	Craniofacial dysostosis
HP:0000929	Abnormal skull morphology
MP:0008016	abnormal male inguinal canal morphology
MP:0003673	abnormal inguinal canal morphology
HP:0006563	Malformation of the hepatic ductal plate
HP:0004297	Abnormality of the biliary system
HP:0500184	Abnormal CSF amino acid concentration
HP:0500183	Abnormal CSF carboxylic acid concentration
MP:0031010	failure of sperm-egg fusion
MP:0031009	abnormal sperm-egg fusion
HP:0032190	Abnormal meniscus morphology
HP:0002815	Abnormality of the knee
HP:0031991	Increased urinary excretion of galactosyl hydroxylysine
HP:0033354	Abnormal urine metabolite level
HP:0004397	Ectopic anus
HP:0004378	Abnormality of the anus
HP:0030712	Uterine synechiae
HP:0031105	Abnormal uterus morphology
HP:0030996	Megaduodenum
HP:0002246	Abnormal duodenum morphology
MP:0012815	absent rhombomere 8
MP:0012812	abnormal rhombomere 8 morphology
HP:0008122	Calcaneonavicular fusion
HP:0008368	Tarsal synostosis
HP:0011296	EEG with temporal sharp waves
HP:0011196	EEG with focal sharp waves
HP:0010731	Extension of eyebrows towards upper eyelid
HP:0011229	Broad eyebrow
MP:0010399	decreased skeletal muscle glycogen level
MP:0014069	abnormal skeletal muscle glycogen level
HP:0001423	X-linked dominant inheritance
HP:0001417	X-linked inheritance
HP:0030255	Large intestinal polyposis
HP:0200008	Intestinal polyposis
MP:0030397	abnormal incus lenticular process morphology
MP:0005106	abnormal incus morphology
HP:0100892	Abnormality of the xiphoid process
HP:0000766	Abnormal sternum morphology
HP:0007460	Autoamputation of digits
HP:0001155	Abnormality of the hand
MP:0020379	abnormal sucrose solution preference
MP:0001423	abnormal liquid preference
MP:0013494	abnormal trachea gland morphology
MP:0014033	abnormal submucosal gland morphology
HP:0031843	Bradyphrenia
HP:0100543	Cognitive impairment
MP:0012127	absent placenta hemotrichorial membrane
MP:0012126	abnormal placenta hemotrichorial membrane morphology
MP:0000909	abnormal facial motor nucleus morphology
MP:0013110	nose closed contusion
MP:0013033	closed contusion
MP:0012075	impaired mammary gland growth during pregnancy
MP:0006269	abnormal mammary gland growth during pregnancy
HP:0032795	Generalized myoclonic-tonic-clonic seizure
HP:0032677	Generalized-onset motor seizure
HP:0009011	Hypoplasia of serratus anterior muscle
HP:0009131	Abnormality of the musculature of the thorax
MP:0009403	increased variability of skeletal muscle fiber size
MP:0009398	abnormal skeletal muscle fiber size
HP:0002836	Bladder exstrophy
HP:0100548	Exstrophy
HP:0100163	Ivory epiphysis of the proximal phalanx of the 3rd toe
HP:0100061	Ivory epiphyses of the 3rd toe
MP:0013332	peliosis
MP:0002127	abnormal cardiovascular system morphology
HP:0410068	Increased level of L-glutamic acid in blood
HP:0500148	Abnormal circulating glutamate concentration
HP:0033652	Broncholith
HP:0031983	Abnormal pulmonary thoracic imaging finding
MP:0005416	abnormal circulating protein level
HP:0011578	Transitional atrioventricular canal defect
HP:0006695	Atrioventricular canal defect
HP:0100733	Neoplasm of the parathyroid gland
HP:0011766	Abnormality of the parathyroid morphology
HP:0033923	Renal arteriole foam cell endoarterial hypercellularity
HP:0033922	Renal arteriole leukocytic endoarterial hypercellularity
HP:0025079	Pancreatic abscess
HP:0025615	Abscess
HP:0100451	Curved distal phalanx of the 5th toe
HP:0010188	Curved distal toe phalanx
MP:0012403	abnormal nail plate morphology
MP:0000579	abnormal nail morphology
HP:0010027	Broad 1st metacarpal
HP:0001230	Broad metacarpals
HP:0007485	Absence of subcutaneous fat
HP:0008887	Adipose tissue loss
MP:0012006	abnormal hippocampus physiology
MP:0003633	abnormal nervous system physiology
HP:0004213	Abnormal 5th finger phalanx morphology
HP:0001493	Falciform retinal fold
HP:0008052	Retinal fold
HP:0002444	Hypothalamic hamartoma
HP:0012286	Abnormal hypothalamus morphology
MP:0010330	abnormal circulating lipoprotein level
MP:0009642	abnormal blood homeostasis
MP:0011171	increased number of Heinz bodies
MP:0003644	thymus atrophy
MP:0000706	small thymus
HP:0011714	Libman-Sacks lesions
HP:0100584	Endocarditis
MP:0030671	decreased circulating phenylalanine level
MP:0030669	abnormal circulating phenylalanine level
MP:0004544	absent esophagus
MP:0000467	abnormal esophagus morphology
MP:0006065	abnormal heart position or orientation
MP:0000266	abnormal heart morphology
MP:0030596	decreased brain manganese level
MP:0030594	abnormal brain manganese level
HP:0009125	Lipodystrophy
HP:0009124	Abnormal adipose tissue morphology
MP:0030768	increased urine dopamine level
MP:0030766	increased urine catecholamine level
MP:0003205	testicular atrophy
MP:0001147	small testis
MP:0020923	decreased susceptibility to Parvoviridae infection
MP:0020921	abnormal susceptibility to Parvoviridae infection
MP:0013159	Purkinje cell axonal dystrophy
MP:0003225	axonal dystrophy
HP:0033831	Cavitating pulmonary mass
HP:0033821	Pulmonary mass
HP:0008209	Premature ovarian insufficiency
HP:0031066	Abnormal ovarian physiology
MP:0005371	limbs/digits/tail phenotype
HP:0009421	Aplasia/Hypoplasia of the distal phalanx of the 3rd finger
HP:0009357	Abnormality of the distal phalanx of the 3rd finger
MP:0020755	increased cingulate cortex total cell area
MP:0020753	abnormal cingulate cortex total cell area
HP:0500235	Abnormal CSF histidine concentration
HP:0031680	Type II atherosclerotic lesion
HP:0031678	Atherosclerotic lesion
HP:0100150	Fragmentation of the epiphysis of the middle phalanx of the 3rd toe
HP:0100059	Fragmentation of the epiphyses of the 3rd toe
MP:0011421	cylindruria
MP:0009643	abnormal urine homeostasis
HP:0030159	Cervical polyp
HP:0012888	Abnormality of the uterine cervix
HP:0007098	Paroxysmal choreoathetosis
HP:0001266	Choreoathetosis
MP:0004371	bowed femur
MP:0000559	abnormal femur morphology
HP:0000033	Ambiguous genitalia, male
HP:0000032	Abnormality of male external genitalia
HP:0003755	Type 1 fibers relatively smaller than type 2 fibers
HP:0012084	Abnormality of skeletal muscle fiber size
MP:0031254	decreased vitamin C level
MP:0011229	abnormal vitamin C level
HP:0006755	Cutaneous leiomyosarcoma
HP:0100243	Leiomyosarcoma
MP:0010149	abnormal synaptic dopamine release
MP:0005445	abnormal neurotransmitter secretion
HP:0005063	Fragmented, irregular epiphyses
HP:0100168	Fragmented epiphyses
HP:0025563	Anterior chamber cells grade 0
HP:0025560	Anterior chamber cells
MP:0002059	abnormal seminal vesicle morphology
MP:0009205	abnormal internal male genitalia morphology
HP:0000497	Globe retraction and deviation on abduction
HP:0011347	Abnormality of ocular abduction
HP:0000295	Doll-like facies
HP:0001999	Abnormal facial shape
HP:0002063	Rigidity
HP:0001276	Hypertonia
HP:0020126	Prostate mass
HP:0008775	Abnormal prostate morphology
HP:0009664	Absent epiphysis of the proximal phalanx of the thumb
HP:0009686	Absent epiphyses of the thumb
HP:0005026	Mesomelic/rhizomelic limb shortening
HP:0008905	Rhizomelia
HP:0007364	Aplasia/Hypoplasia of the cerebrum
HP:0002060	Abnormal cerebral morphology
MP:0003895	increased ectoderm apoptosis
MP:0013504	increased embryonic tissue cell apoptosis
HP:0031403	Impaired pathogen-specific CD8 cytoxicity
HP:0031404	Impaired antigen-specific response
HP:0100464	Patchy sclerosis of the proximal phalanx of the 3rd toe
HP:0100932	Sclerosis of the proximal phalanx of the 3rd toe
HP:0010524	Agnosia
HP:0009813	Upper limb phocomelia
HP:0006496	Aplasia/hypoplasia involving bones of the upper limbs
HP:0007220	Demyelinating motor neuropathy
HP:0007178	Motor polyneuropathy
HP:0100530	Abnormal calcium-phosphate regulating hormone level
HP:0033331	Acute phase response
HP:0040238	Impaired neutrophil chemotaxis
HP:0005400	Reduction of neutrophil motility
HP:0004223	Ivory epiphysis of the distal phalanx of the 5th finger
HP:0009388	Ivory epiphyses of the 5th finger
MP:0010411	cor triatriatum dextrum
MP:0003922	abnormal heart right atrium morphology
HP:0006095	Wide tufts of distal phalanges
HP:0006200	Widened distal phalanges
MP:0020223	increased alertness
MP:0020222	abnormal alertness
HP:0005086	Knee osteoarthritis
MP:0010259	anterior polar cataract
MP:0010258	polar cataract
HP:0004836	Acute promyelocytic leukemia
HP:0002488	Acute leukemia
MP:0004991	decreased bone strength
MP:0001542	abnormal bone strength
HP:0012687	Agenesis of pineal gland
HP:0002977	Aplasia/Hypoplasia involving the central nervous system
HP:0040055	Short lower eyelashes
HP:0010764	Short eyelashes
